URL handle,Title,Description,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Option1 value,SKU,Barcode,Price,Compare-at price,Cost per item,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Gift card,SEO title,SEO description,Collection,Ingredients (product.metafields.custom.ingredients),Depth (product.metafields.custom.depth),Width (product.metafields.custom.width),Height (product.metafields.custom.height)
olive-8-person-inflatable-spa,Olive 8-person inflatable spa,"A round, olive-green inflatable spa designed to seat up to eight people comfortably, with a maximum water temperature of 40°C. Five accessories are included in the box, so there is plenty to get started with straight away.",,hg-18-4,Inflatable spa,"spa-hot-tub, considered-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,GEN-SPA-9274,6941057429274,,,,true,shopify,999,deny,,kg,true,manual,https://media.intex.fr/11990-large_default_x2/28412np-spa-gonflable-olive-8-places.jpg,1,Olive 8-person inflatable spa,false,,,Hot Tubs,,,,
sc750-filter-replacement-filter-lamellar-filter-arctic-fonteyn-rota-strong-spa-d,SC750 Filter replacement filter lamellar filter Arctic Fonteyn Rota Strong Spa - Darlly,"A Darlly SC750 replacement cartridge filter compatible with Arctic, Fonteyn, Rota, and Strong Spa hot tubs, among others. A straightforward like-for-like swap to keep your spa water flowing clean.",Darlly,hg-18-1-3-1,Filter cartridge,"filters, spa-hot-tub, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,DAR-FIL-2116,700175992116,,,,true,shopify,999,deny,,kg,true,manual,https://images.barcodelookup.com/29338/293384728-1.jpg,1,SC750 Filter replacement filter lamellar filter Arctic Fonteyn Rota Strong Spa - Darlly,false,,,Filter cartridges and filter media for water pumps,,,,
spabalancer-clean-refresh-sprayer,SpaBalancer Clean & Refresh (+ sprayer),SpaBalancer Clean and Refresh is a spa water treatment product supplied with a sprayer for easy application. It is designed to keep spa water fresh and clean as part of a regular maintenance routine.,SpaBalancer,hg-18-1-7,Pool cleaning product,"cleaning, add-on, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,SPA-CLN-0117,4260374980117,,,,true,shopify,999,deny,,kg,true,manual,https://www.spabalancer.ch/media/ae/20/d2/1728651174/sb111_clean-refresh_freigestellt.png?ts=1777362921,1,SpaBalancer Clean & Refresh (+ sprayer),false,,,Pool Cleaning Equipment,,,,
water-i-d-water-id-reagenzien-dpd-1-photometer-500,WATER-I.D. Water-ID Reagenzien DPD 1 Photometer 500,"A pack of 500 DPD 1 reagent tablets for use with the Water-ID photometer, measuring free chlorine levels in pool or spa water. Having a full pack to hand means you will not run short mid-season.",Water-i.d.,hg-18-1,Water test kit,"test-measure, add-on, needs-photo, needs-review, scanned-stock",false,draft,Title,Default Title,WAT-TST-1702,4260431461702,,,,true,shopify,999,deny,,kg,true,manual,,,,false,,,Pool Accessories,,,,
water-i-d-water-id-reagenzien-phenol-red-photometer-500,WATER-I.D. Water-ID Reagenzien Phenol Red Photometer 500,"A pack of 500 Phenol Red reagent tablets compatible with the Water-ID photometer, used for measuring pH levels in pool or spa water. Accurate pH readings are the foundation of balanced, comfortable water.",Water-i.d.,hg-18-1,Water test kit,"test-measure, add-on, barcode-verified, needs-review, scanned-stock",false,draft,Title,Default Title,WAT-TST-1801,4260431461801,,,,true,shopify,999,deny,,kg,true,manual,https://www.poolpowershop.de/media/46/63/13/1743521499/phenol-red-testtabletten-fuer-poollab-500-stk.jpg,1,WATER-I.D. Water-ID Reagenzien Phenol Red Photometer 500,false,,,Pool Accessories,,,,
cristal-poolpflege-cristal-edge-cleaner-alkaline-1-0-l-material-safe-for-liners-,"Cristal Poolpflege CRISTAL edge cleaner alkaline 1,0 l, (material-safe, for liners, plastic","An alkaline edge and surround cleaner in a 1-litre bottle, formulated to be gentle on pool liners, foils, and plastic surfaces. It tackles waterline grime without harming the materials it touches.",Cristal,hg-18-1-7,Pool chemical,"pool, water-treatment, cleaning, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,CRI-CHM-5212,4002369155212,,,,true,shopify,999,deny,,kg,true,manual,https://images.barcodelookup.com/21057/210579756-1.jpg,1,"Cristal Poolpflege CRISTAL edge cleaner alkaline 1,0 l, (material-safe, for liners, plastic",false,,,Pool Cleaning Equipment,,,,
aquality-pool-cleaner-for-greasy-residue-1l,AQUALITY Pool cleaner for greasy residue 1L,"A 1-litre pool surface cleaner formulated to remove sunscreen oils and greasy residues from the water surface, designed specifically for warm Mediterranean climates and heavy swimming loads. It keeps the waterline and surface clear without harming pool materials.",Aquality,hg-18-1-7,Pool cleaning product,"pool, cleaning, add-on, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,AQU-CLN-0223,5292638000223,,,,true,shopify,999,deny,,kg,true,manual,http://mangas.com.cy/media/products/5292638000223.jpg,1,AQUALITY Pool cleaner for greasy residue 1L,false,,,Pool Cleaning Equipment,,,,
pool-clarifier-california-clear-blue-aquality-1l,Pool Clarifier California Clear Blue Aquality 1L,"California Clear Blue is a super-concentrated, pH-neutral pool clarifier in a 1-litre bottle, using a cationic polymer formula to bind microscopic particles such as dust, pollen, and oils into larger clusters your filter can catch. Non-toxic and biodegradable, it is safe for sand, zeolite, and glass filtration media.",Aquality,hg-18-1-7,Pool chemical,"pool, water-treatment, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,AQU-CHM-0070,5292638000070,,,,true,shopify,999,deny,,kg,true,manual,https://poolservices.cy/storage/2026/05/California-Clear-Blue-1L-Aquality-2.jpeg,1,Pool Clarifier California Clear Blue Aquality 1L,false,,,Water Chemicals and Chlorine,,,,
aquality-magic-tile-4-vinyl-cleaner-1l,AQUALITY Magic tile 4 vinyl cleaner 1L,"A 1-litre tile and vinyl cleaner for pools, designed to clean pool tile surfaces and vinyl liners. It makes light work of the tidying up that keeps a pool looking its best.",Aquality,hg-18-1-7,Pool cleaning product,"cleaning, add-on, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,AQU-CLN-0162,5292638000162,,,,true,shopify,999,deny,,kg,true,manual,http://mangas.com.cy/media/products/5292638000162.jpg,1,AQUALITY Magic tile 4 vinyl cleaner 1L,false,,,Pool Cleaning Equipment,,,,
hofer-chemie-gmbh-pool-care-1-l-bayzid-spa-poolclear-turbidity-remover,Höfer Chemie GmbH pool care 1 L BAYZID® SPA Poolclear turbidity remover,"A 1-litre spa and pool water clarifier from Bayzid, formulated to clear cloudy or turbid water. A handy bottle to reach for whenever the water loses its sparkle.",Höfer Chemie,hg-18-4,Inflatable spa,"spa-hot-tub, pool, water-treatment, considered-purchase, barcode-verified, needs-review, scanned-stock",false,draft,Title,Default Title,HFE-SPA-7202,4250463127202,,,,true,shopify,999,deny,,kg,true,manual,https://hoefer-shop.com/cdn/shop/files/1x1L-BAYZID-Spa-Poolclear-v1-RS_1.jpg?v=1785600487&width=800,1,Höfer Chemie GmbH pool care 1 L BAYZID® SPA Poolclear turbidity remover,false,,,Hot Tubs,,,,
hofer-chemie-gmbh-1-l-hydrogen-peroxide-11-9,"HÖFER CHEMIE GMBH 1 l hydrogen peroxide 11,9%","A 1-litre bottle of hydrogen peroxide at 11.9% concentration, suitable for disinfection and water treatment applications. A straightforward chemical solution that keeps things clean without fuss.",Höfer Chemie,hg-18-1-7,Pool chemical,"water-treatment, repeat-purchase, barcode-verified, needs-review, scanned-stock",false,draft,Title,Default Title,HFE-CHM-6788,4250463106788,,,,true,shopify,999,deny,,kg,true,manual,https://hoefer-shop.com/cdn/shop/files/1x1L-Wasserstoffperoxid-Flasche-hinten-26.jpg?v=1783777627&width=1000,1,"HÖFER CHEMIE GMBH 1 l hydrogen peroxide 11,9%",false,,,Water Chemicals and Chlorine,,,,
astralpool-water-care-astralpool-chlorine-stabilizer-4-5-kg,"Astralpool water care Astralpool Chlorine Stabilizer 4,5 kg","A 4.5 kg pack of chlorine stabilizer for swimming pools, used to protect chlorine from UV degradation and extend its effectiveness in the water. Steady chemistry for a pool that earns its keep.",AstralPool,hg-18-1-7,Pool chemical,"water-treatment, repeat-purchase, needs-photo, needs-review, scanned-stock",false,draft,Title,Default Title,AST-CHM-0626,8432611960626,,,,true,shopify,999,deny,4500,kg,true,manual,,,,false,,,Water Chemicals and Chlorine,,,,
spabalancer-ultrashock,SpaBalancer UltraShock,"UltraShock is a pool and spa shock treatment from SpaBalancer, designed to rapidly oxidise contaminants and restore water clarity. A quick reset for water that needs a little more persuasion.",SpaBalancer,hg-18-1-7,Pool chemical,"water-treatment, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,SPA-CHM-0025,4260374980025,,,,true,shopify,999,deny,,kg,true,manual,https://images.barcodelookup.com/16704/167043133-1.jpg,1,SpaBalancer UltraShock,false,,,Water Chemicals and Chlorine,,,,
pool-gom-magic-rubber-eraser,Pool'Gom Magic Rubber Eraser,"A patented foam rubber eraser for cleaning pool surfaces, particularly suited to waterline stains on liner and vitreous ceramic finishes, and it works without detergents or chemicals. Each box contains 3 sponges, which harden when wet to scrub effectively while remaining soft and flexible in use.",,hg-18-1-7,Pool cleaning product,"pool, cleaning, add-on, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,GEN-CLN-0062,3760015880062,,,,true,shopify,999,deny,,kg,true,manual,https://www.piscinarium.com/2908-thickbox_default/pool-gom-magic-rubber-eraser.jpg,1,Pool'Gom Magic Rubber Eraser,false,,,Pool Cleaning Equipment,,,,
spa-industries-europe,Spa Industries Europe,"Spa Industries Europe appears to be a brand or supplier name rather than a specific product, so no product details can be confirmed. For accurate information, please check the full product listing.",,hg-18-4,Inflatable spa,"spa-hot-tub, considered-purchase, multi-source-confirmed, needs-photo, needs-review, scanned-stock",false,draft,Title,Default Title,GEN-SPA-1968,5425021871968,,,,true,shopify,999,deny,,kg,true,manual,,,,false,,,Hot Tubs,,,,
hofer-chemie-gmbh-1-l-sauna-cleaner-with-eucalyptus-scent-high-concentrate-heavy,Höfer Chemie GmbH 1 L sauna cleaner with eucalyptus scent - high-concentrate heavy-duty cleaner,"A 1-litre high-concentrate sauna cleaner with eucalyptus fragrance, formulated as a deep-cleaning base cleaner for sauna surfaces. The concentrated formula means a little goes a long way, with a fresh scent to match.",Höfer Chemie,hg-18-1-7,Pool cleaning product,"cleaning, add-on, needs-photo, needs-review, scanned-stock",false,draft,Title,Default Title,HFE-CLN-7004,4250463127004,,,,true,shopify,999,deny,,kg,true,manual,,,,false,,,Pool Cleaning Equipment,,,,
hth-spa-spa-cleaner,HTH Spa spa cleaner,"This HTH spa cleaner removes mineral deposits such as limescale and rust, and cleans and polishes aluminium, chrome, stainless steel, and enamel surfaces with a pleasant pine fragrance. It has a high concentration of active ingredients and is recommended for periodic maintenance cleaning.",hth,hg-18-1-7,Pool cleaning product,"spa-hot-tub, cleaning, add-on, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,HTH-CLN-0178,3521686010178,,,,true,shopify,999,deny,,kg,true,manual,https://www.cdiscount.com/pdt2/0/5/1/1/700x700/auc2009356289051/rw/hth-spa-nettoyant-spa-3521686010178.jpg,1,HTH Spa spa cleaner,false,,,Pool Cleaning Equipment,,,,
saline-pool-salt-pure-boiling-salt-without-separating-agent-sack-25-kg,Saline pool salt pure boiling salt without separating agent | Sack (25 kg),"A 25 kg sack of pure boiling salt (minimum 99.6% NaCl) without an anti-caking agent, meeting EN 973 Type A standard and suitable for use in pool salt electrolysis systems. Not intended for human consumption or animal feed.",,hg-18-1-7,Pool salt,"pool, salt, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,GEN-SLT-6110,9001880976110,,,,true,shopify,999,deny,25000,kg,true,manual,http://altruan.com/cdn/shop/files/SalinenPoolSalz25kgSack.png?v=1778597596,1,Saline pool salt pure boiling salt without separating agent | Sack (25 kg),false,,,Water Chemicals and Chlorine,"Composition: Siedesalz (min. 99.6% NaCl) 100%; Separant/sodium ferrocyanide 4.0–12.0 mg/kg | Grain: >0.63 mm approx. 20%, 0.2–0.63 mm approx. 75%, <0.2 mm approx. 5% | Moisture: <0.08%",,,
aiper-scuba-s3-cordless-pool-robot-automatic-floor-and-wall-cleaning-wavepathtm-,"AIPER Scuba S3 cordless pool robot, automatic floor and wall cleaning, WavePath™ navigation, high-performance filtration and smart control","A cordless robotic pool cleaner that scrubs both floors and walls automatically, using WavePath navigation to map and cover the pool efficiently. Built-in high-performance filtration and smart control make it a hands-off solution for keeping pool water clear.",Aiper,hg-18-1-16,Pool robot cleaner,"pool, cleaning, robot-cleaner, considered-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,AIP-ROB-4940,6977676344940,,,,true,shopify,999,deny,,kg,true,manual,https://images.barcodelookup.com/176692/1766920801-1.jpg,1,"AIPER Scuba S3 cordless pool robot, automatic floor and wall cleaning, WavePath™ navigation, high-performance filtration…",false,,,Pool Cleaning Equipment,,,,
scuba-l1-eu,Scuba L1 - EU,"The Scuba L1 EU is a pool cleaning device, though no further specific details about its features, dimensions, or mechanism are available from the product name alone. Buyers should refer to the full product listing for specifications.",,hg-18-1-16,Pool robot cleaner,"robot-cleaner, considered-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,GEN-ROB-5137,6975140315137,,,,true,shopify,999,deny,,kg,true,manual,https://images.barcodelookup.com/124722/1247228758-1.jpg,1,Scuba L1 - EU,false,,,Pool Cleaning Equipment,,,,
battery-powered-robot-wet-runner-xpert,Battery Powered Robot WET RUNNER XPERT,The Gre Pools RBR120 is a 51W robotic pool cleaner designed for automatic pool floor cleaning. A reliable workhorse that takes the scrubbing off your hands.,,hg-18-1-16,Pool robot cleaner,"robot-cleaner, considered-purchase, barcode-verified, needs-review, scanned-stock",false,draft,Title,Default Title,GEN-ROB-8500,8412081308500,,,,true,shopify,999,deny,,kg,true,manual,https://images.barcodelookup.com/124726/1247268298-1.jpg,1,Battery Powered Robot WET RUNNER XPERT,false,,,Pool Cleaning Equipment,,,,
twin-dura-beam-classic-downy-airbed-99x191x25-cm,Twin Dura-Beam Classic Downy Airbed 99x191x25 cm,"A twin-size inflatable airbed measuring 99 x 191 x 25 cm, built with Fiber-Tech internal construction using polyester fibres for comfort, vinyl sides and base, and a water-resistant flocked top surface with an anti-deflation valve. It supports a maximum weight of 136 kg and packs down compactly when deflated.",,hg-18-1-11,Airbed / lounger,"considered-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,GEN-BED-2443,6941057412443,,,,true,shopify,999,deny,,kg,true,manual,https://www.ecoperation.com/media/catalog/product/cache/b76cf1d99a7811daa83ba86e6ad91c89/6/4/64757.jpg,1,Twin Dura-Beam Classic Downy Airbed 99x191x25 cm,false,,,Inflatable Beds and Mattresses,,99.0cm,191.0cm,25.0cm
steinbach-chlorine-dosing-lock-only-for-chlorine-long-term-tablets-plastic-conne,"STEINBACH Chlorine dosing lock, only for chlorine long-term tablets, plastic, connection 1.5 inch in","A plastic chlorine dosing lock from Steinbach, designed exclusively for use with long-term chlorine tablets, with a 1.5-inch connection fitting. It measures 37 cm in length, 22.5 cm in width, and 15 cm in height, making it a sturdy inline dosing unit for pool water treatment systems.",Steinbach,hg-18-1-7,Pool chemical,"water-treatment, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,STE-CHM-0307,9008748790307,,,,true,shopify,999,deny,,kg,true,manual,https://i.ebayimg.com/images/g/CrUAAeSwkOdqeaRR/s-l400.jpg,1,"STEINBACH Chlorine dosing lock, only for chlorine long-term tablets, plastic, connection 1.5 inch in",false,,,Water Chemicals and Chlorine,,22.5cm,37.0cm,15.0cm
estelle-filter-cleaning-system-hot-tubs-cartridge-filters-cleaner-spa-amazing,Estelle Filter Cleaning System Hot tubs Cartridge Filters Cleaner Spa Amazing!,"A filter cleaning system for hot tub and pool cartridge filters, designed to remove debris and residue efficiently while keeping water usage to a minimum. A practical tool for extending the life of your filter without wasting a drop more than necessary.",Estelle,hg-18-1-3-1,Filter cartridge,"filters, spa-hot-tub, cleaning, repeat-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,EST-FIL-3669,8711842033669,,,,true,shopify,999,deny,,kg,true,manual,https://i.ebayimg.com/images/g/0e0AAOSweaplqO77/s-l400.jpg,1,Estelle Filter Cleaning System Hot tubs Cartridge Filters Cleaner Spa Amazing!,false,,,Filter cartridges and filter media for water pumps,,,,
ways-pool-maintenance-scrub-brush-15-x-9-x-8-cm-handy-scrub,WAYS - Pool maintenance - Scrub brush - 15 x 9 x 8 cm - Handy scrub,"A compact handy scrub brush for pool maintenance, measuring 15 x 9 x 8 cm, suited to scrubbing pool surfaces and hard-to-reach areas. Small enough to manoeuvre easily, and ready to tackle whatever the waterline throws at it.",WAYS,hg-18-1-7,Pool cleaning product,"pool, cleaning, add-on, needs-photo, needs-review, scanned-stock",false,draft,Title,Default Title,WAY-CLN-2219,8720299182219,,,,true,shopify,999,deny,,kg,true,manual,,,,false,,,Pool Cleaning Equipment,,8.0cm,15.0cm,9.0cm
pillow-for-inflatable-spa-intex-28506,Pillow for inflatable SPA INTEX 28506,"An inflatable PVC headrest pillow for the Intex inflatable spa (model 28506), measuring 24 x 19 x 6 cm and weighing 0.22 kg, designed to support the head and neck comfortably during use. It attaches to the spa rim and can also be filled with water for added stability.",Intex,hg-18-4,Inflatable spa,"spa-hot-tub, accessories, considered-purchase, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,INT-SPA-6075,6941057426075,,,,true,shopify,999,deny,220,kg,true,manual,https://content2.rozetka.com.ua/goods/images/big/570260745.jpg,1,Pillow for inflatable SPA INTEX 28506,false,,,Intex Pure Spa Accessories,,19.0cm,24.0cm,6.0cm
active-oxygen-test-kit-x1,Active oxygen test kit x1,"A DPD Pool test kit for active-oxygen pools, containing 20 DPD No. 4 reagent tablets for measuring active oxygen levels and 20 phenol red tablets for measuring pH. Results are read immediately after the tablet dissolves, with an ideal active oxygen range of 3.0 to 8.0 mg/l and a target pH of 7.0 to 7.4.",,hg-18-1,Water test kit,"water-treatment, test-measure, add-on, barcode-verified, multi-source-confirmed, needs-review, scanned-stock",false,draft,Title,Default Title,GEN-TST-1347,4250463121347,,,,true,shopify,999,deny,,kg,true,manual,https://media.carrefour.fr/medias/8f94161f683b4e589024a5b5ebaa6873/p_200x200/cad3db6a00ef414a804b9226119bae96_image.jpg,1,Active oxygen test kit x1,false,,,Water Chemicals and Chlorine,,,,
